kind	entry	entry_rank	other	other_rank	detail
inflected	coisa	44	coiso	9391	coisa is a regular inflection of coiso
diacritic	quê	109	que	3	both fold to 'que'
diacritic	porquê	227	porque	51	both fold to 'porque'
relemmatize	acha	244	achar	65	acha lemmatizes to achar
relemmatize	obrigado	247	obrigar	113	obrigado lemmatizes to obrigar
inflected	porta	282	porto	2149	porta is a regular inflection of porto
diacritic	pôr	294	por	22	both fold to 'por'
inflected	cima	316	cimo	5111	cima is a regular inflection of cimo
inflected	eis	347	el	2589	eis is a regular inflection of el
inflected	filha	360	filho	159	filha is a regular inflection of filho
inflected	umas	402	uma	15	umas is a regular inflection of uma
inflected	tuas	468	tua	86	tuas is a regular inflection of tua
inflected	pais	480	pai	104	pais is a regular inflection of pai
diacritic	país	533	pais	480	both fold to 'pais'
relemmatize	pelo	539	pelar	81	pelo lemmatizes to pelar
inflected	comida	554	comido	3733	comida is a regular inflection of comido
inflected	bola	557	bolo	1256	bola is a regular inflection of bolo
inflected	certa	580	certo	139	certa is a regular inflection of certo
relemmatize	deve	614	dever	57	deve lemmatizes to dever
relemmatize	tinha	616	ter	9	tinha lemmatizes to ter
relemmatize	vê	618	ver	38	vê lemmatizes to ver
relemmatize	visto	627	ver	38	visto lemmatizes to ver
relemmatize	chamado	659	chamar	153	chamado lemmatizes to chamar
relemmatize	pergunta	660	perguntar	205	pergunta lemmatizes to perguntar
inflected	escolha	666	escolho	4625	escolha is a regular inflection of escolho
inflected	mesa	707	mês	340	mesa is a regular inflection of mês
diacritic	á	736	à	45	both fold to 'a'
diacritic	ai	738	aí	173	both fold to 'ai'
inflected	tira	742	tiro	640	tira is a regular inflection of tiro
inflected	puta	751	puto	1811	puta is a regular inflection of puto
relemmatize	namorado	797	namorar	775	namorado lemmatizes to namorar
relemmatize	era	828	ser	2	era lemmatizes to ser
inflected	surpresa	852	surpreso	5234	surpresa is a regular inflection of surpreso
inflected	esquerda	890	esquerdo	2664	esquerda is a regular inflection of esquerdo
inflected	costas	906	costa	1725	costas is a regular inflection of costa
inflected	senhora	909	senhor	107	senhora is a regular inflection of senhor
relemmatize	senhora	909	senhor	107	senhora lemmatizes to senhor
relemmatize	dado	911	dar	68	dado lemmatizes to dar
diacritic	vós	925	vos	478	both fold to 'vos'
relemmatize	passado	956	passar	82	passado lemmatizes to passar
relemmatize	errado	960	errar	516	errado lemmatizes to errar
inflected	cerca	963	cerco	6355	cerca is a regular inflection of cerco
inflected	pedra	976	pedro	3680	pedra is a regular inflection of pedro
inflected	testemunha	1009	testemunho	3555	testemunha is a regular inflection of testemunho
diacritic	näo	1031	não	4	both fold to 'nao'
relemmatize	rapariga	1054	rapaz	171	rapariga lemmatizes to rapaz
relemmatize	percebe	1058	perceber	238	percebe lemmatizes to perceber
relemmatize	foda-se	1060	foda	2610	foda-se lemmatizes to foda
relemmatize	deste	1092	dar	68	deste lemmatizes to dar
inflected	conta	1107	conto	1638	conta is a regular inflection of conto
relemmatize	conta	1107	contar	161	conta lemmatizes to contar
inflected	carrinha	1151	carrinho	4073	carrinha is a regular inflection of carrinho
inflected	corrida	1180	corrido	5069	corrida is a regular inflection of corrido
relemmatize	ela	1207	ele	13	ela lemmatizes to ele
relemmatize	chama	1222	chamar	153	chama lemmatizes to chamar
inflected	troca	1243	troco	2750	troca is a regular inflection of troco
relemmatize	unido	1244	unir	2349	unido lemmatizes to unir
inflected	fala	1254	falo	1001	fala is a regular inflection of falo
relemmatize	fala	1254	falar	55	fala lemmatizes to falar
relemmatize	maldito	1268	maldizer	1192	maldito lemmatizes to maldizer
inflected	dessas	1273	dessa	833	dessas is a regular inflection of dessa
relemmatize	preocupado	1275	preocupar	253	preocupado lemmatizes to preocupar
inflected	calças	1298	calça	7052	calças is a regular inflection of calça
relemmatize	milhar	1328	mil	455	milhar lemmatizes to mil
relemmatize	má	1371	mau	281	má lemmatizes to mau
inflected	vê-la	1374	vê-lo	868	vê-la is a regular inflection of vê-lo
inflected	desses	1396	desse	875	desses is a regular inflection of desse
inflected	banda	1400	bando	2016	banda is a regular inflection of bando
relemmatize	estado	1409	estar	6	estado lemmatizes to estar
inflected	óptima	1413	óptimo	328	óptima is a regular inflection of óptimo
relemmatize	óptima	1413	óptimo	328	óptima lemmatizes to óptimo
inflected	partida	1442	partido	1329	partida is a regular inflection of partido
relemmatize	fechado	1444	fechar	486	fechado lemmatizes to fechar
relemmatize	preparado	1452	preparar	387	preparado lemmatizes to preparar
relemmatize	ferido	1453	ferir	1239	ferido lemmatizes to ferir
relemmatize	ouvido	1472	ouvir	84	ouvido lemmatizes to ouvir
relemmatize	casado	1530	casar	419	casado lemmatizes to casar
relemmatize	guarda	1551	guardar	454	guarda lemmatizes to guardar
relemmatize	empregado	1570	empregar	2284	empregado lemmatizes to empregar
inflected	merdas	1585	merda	199	merdas is a regular inflection of merda
inflected	bem-vindos	1613	bem-vindo	1149	bem-vindos is a regular inflection of bem-vindo
relemmatize	bem-vindos	1613	bem-vindo	1149	bem-vindos lemmatizes to bem-vindo
relemmatize	atrasado	1632	atrasar	921	atrasado lemmatizes to atrasar
inflected	tretas	1651	treta	1468	tretas is a regular inflection of treta
relemmatize	morado	1697	morar	1055	morado lemmatizes to morar
diacritic	ó	1702	o	1	both fold to 'o'
inflected	ás	1703	á	736	ás is a regular inflection of á
inflected	revista	1736	revisto	6389	revista is a regular inflection of revisto
diacritic	mama	1742	mamã	773	both fold to 'mama'
inflected	câmaras	1755	câmara	827	câmaras is a regular inflection of câmara
inflected	carga	1757	cargo	2492	carga is a regular inflection of cargo
diacritic	àquele	1771	aquele	148	both fold to 'aquele'
relemmatize	convidado	1773	convidar	721	convidado lemmatizes to convidar
